host,plant,jun_16,jul_16,aug_16,sep_16,oct_16,nov_16,dic_16,jan_17,feb_17,mar_17,apr_17,jun_17,jul_17,aug_17,sep_17,oct_17,nov_17,dic_17,Jan_18,feb_18,mar_18,apr_18,may_18,jun_18,
1,MC79,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,
1,MC80,,,,,,1,,,,,,,,1,1,1,1,1,,,,,,,
1,MC81,,,,1,1,1,,,,,,,,1,1,1,1,1,,,,,,,
1,MC82,,,,,1,1,1,,,,,,,,1,1,1,1,,,,1,1,1,
1,MC83,,,,,1,1,1,,,,,1,1,,1,1,1,1,,,,,,,
1,MC84,,,1,,1,1,,,,,,,,,,,,,,,,,,,
1,MC85,1,,1,1,1,1,,1,1,,,,,,1,1,1,1,,,,,,,
,MC86,,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,,1,1,
1,MC87,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,,,,,,,
,MC88,,,,,,,,,,,,,,1,1,,,,,,,,,,
1,MC89,,,1,1,1,1,1,,,,1,1,1,1,,1,1,1,,,,,,,
1,MC90,,,,1,1,,,,,,,1,1,1,,1,1,1,,,,1,1,1,
1,MC91,,,,1,1,1,1,,,,,,,,1,1,1,1,,,,,,,
1,MC92,,,,,,,,,,,,,,,2,1,1,1,,,,,,,
1,MC93,,,,1,1,1,1,,,,,,,,1,1,1,1,,,,,,,
1,MC94,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC95,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC96,,,,1,1,,,,,,,,,,,,,,,,,,,,
1,MC97,,,,1,1,1,,,,,,,,,,,,,,,,,,,
1,MC98,,,,1,1,1,,,,,,,,,,,,1,,,,,,,
1,MC99,,,,,,,1,,,,,,,1,1,1,1,1,,,,1,1,1,
1,MC100,,,,1,1,1,1,,,,,,,,,,,,,,,,,,
1,MC101,,,,,1,1,,,,,,,,,1,1,1,1,,,,,,,
1,MC102,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
1,MC103,,,,,,,,,,1,,,1,1,1,1,1,1,1,,,,,,
,MC104,7,,,,,,,,,,,,,,,,,,,,,,,,
,MC105,,,,1,1,1,1,,,,,,,,,,,,,,,,,,
1,MC106,,,1,,1,1,1,,,,,1,1,1,1,1,1,1,,,,,,,
1,MC107,,,,,1,1,1,,,,,1,1,,,,,,,,,,,1,
1,MC108,,,,1,,,,,,,,,,,1,1,1,1,,,,,,,
1,MC109,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
1,MC110,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,,,,,,,
1,MC111,,,1,,,,1,1,1,,,,,,,,,1,,,,,,,
